date,PO%,away_team_runs,woba_denom,WAR,Swing% (sc),SH,Str,incorrect_calls,home_runs,Pulls,IFH%,balls,CTv,FA% (sc),FS% (pi),wFA (sc),SC-Z (sc),SI-X (pi),# 60-90%,StS,Contact%,H/9+,BIP-Wins,ShO,at_bat_number,wFA (pi),OPS,LA,Pull%,Loc+ CU,# 0%,average_distance,hit_distance_sc,Pit+ FC,Off,Pace,L,CH-Z (sc),FC-X (pi),AVG,bat_score,rank,PB,60-90%,ay,FA-Z (pi),wCH,F-Strike%,TE,vFS (sc),2B,rTS,vSL (pi),wKC (sc),maxEV,CH-X (pi),40-60%,GB%,SF,XX% (pi),botOvr CH,PA,K/BB,botStf FS,RngR,az,SC% (sc),O-Contact% (sc),Pit+ FS,woba_value,CU-X (sc),Loc+ SI,launch_angle,vFT (sc),inLI,wCU/C (sc),HBP,vFA (pi),SL% (pi),correct_calls_above_expected,delta_home_win_exp,O-Contact% (pi),FP,O-Contact%,E,release_speed,inning_topbot,post_away_score,botOvr KC,wSL/C (sc),release_spin_rate,K%,EP-X (sc),Zone% (pi),wGDP,botCmd CU,G,Loc+ FS,Cent%+,CS-Z (pi),UZR/150,SL% (sc),plate_z,ISO+,max_distance,year,SB-Z (pi),home_team,K/9+,spin_rate_deprecated,RS/9,SB-X (pi),release_pos_z,Cent%,release_extension,BABIP,FO-X (sc),vCS (pi),1-10%,description,accuracy_above_expected,BB%,FBv,BF,Loc+ FA,SFv,FIP,botCmd KC,LOB%,average_homerun,rCERA,FA-X (pi),wFS/C (sc),botCmd SL,Z-Contact%,rGDP,fielder_2,SLG+,Swing%,wCU (pi),UZR,batted_ball_events,id,expected_incorrect_calls,wFC (pi),GS,Dollars,Spd,HR/FB,kwERA,FE,botOvr FS,SO,FA-X (sc),Stf+ CU,SB% (pi),pitcher.1,player_name,wKC/C (sc),StL,fly_ball_line_drive_ev,vFS (pi),wSL (sc),Pit+ SI,Lg,CB%,wFB/C,H,wKN (pi),xERA,A,break_length_deprecated,Stf+ FA,Starting,Dol,FB,O-Swing% (sc),type,iso_value,wSI (sc),xFIP,Z-Swing%,swing_length,LD%+,CU-Z (pi),O-Swing% (pi),estimated_ba_using_speedangle,CG,FDP-Wins,Clutch,Team,FIP-,Pos,FSR,des,10-40%,wCH/C,FT-X (sc),IBB,botOvr,K/BB+,vCH (pi),wCT/C,xSLG,ARM,plate_x,FO-Z (sc),botStf FC,RBI,release_pos_y,#days,AVG+,IDfg,ballpark,SLv,pitches_called,FS-Z (sc),Scp,W,wRC+,CH-Z (pi),FS-X (pi),rSB,wKN/C (sc),Stf+ FS,wFS/C (pi),KN-X (pi),launch_speed_angle,Contact% (pi),Pit+ KC,FC% (sc),post_fld_score,Stf+ SI,post_bat_score,bat_speed,SO/W,Barrel%,wSI/C (pi),tfs_deprecated,pfx_x,phLI,vCU (sc),AB,RAR,# 10-40%,Med%+,Barrels,wCS (pi),hard_hit_95mph+,OBP,GDP,BB,on_1b,LOB-Wins,correct_calls,strikes,Pit+ FA,KC-X (sc),post_home_score,vFA (sc),vSC (sc),wSL,target,exLI,FA% (pi),vKC (sc),wCH/C (pi),BUH%,LD%,ISO,SO9,EV,WHIP+,launch_speed,Stf+ FO,Stf+ KC,wSF/C,botStf KC,game_year,FB% 2,FRM,wSC/C (sc),CH% (pi),rPM,SL%,OAA,wSI (pi),XX-Z (pi),estimated_woba_using_speedangle,DPF,SI-Z (pi),CU% (sc),botOvr SI,TZ,xwOBA,Bat,on_2b,IFH,vFC (pi),SF%,away_team,total_run_impact,botxRV100,FT-Z (sc),Soft%+,zone,MD,Pit+ CU,SL-X (sc),ER,SL-Z (pi),BA,FB%,Age Rng,botStf FA,barrels_batted_balls_percentage,DRS,KC% (sc),Z-Swing% (sc),WPA,FA-Z (sc),Hard%,batter,pitch_type,away_score,SI-X (sc),+WPA,wSC (sc),average_ev,RA9-WAR,KC-Z (sc),home_score,Pit+ FO,SC-X (sc),vy0,feature2,Swing% (pi),player,release_pos_x,SL-X (pi),wCB,GB/FB,wCH (pi),vSI (sc),Age,game_type,Stf+ FC,wFC/C (sc),BB/9,Balls,pitch_name,fielder_7,-WPA,expected_correct_calls,Med%,KNv,K%+,botCmd FC,vFC (sc),UN% (sc),GB,3B,CSW%,1B,SwStr%,wFT/C (sc),on_3b,wFC/C (pi),FB% (Pitch),wOBA,wSF,botStf SI,fielder_6,Loc+ FO,accuracy,ErrR,total_barrels,BUH,wCH (sc),wSB/C (pi),wCB/C,BAbip,wSB,HR/9,90-100%,botOvr FC,Rep,botCmd,Pitching+,botStf CU,vFO (sc),sz_top,fielder_2.1,expected_homers,BU,R,air_density_index,Zone% (sc),CH-X (sc),strikeouts,WP,SB,Stf+ CH,wCT,gmLI,vx0,rARM,outs_when_up,E-F,vKN (sc),fielder_9,vSI (pi),sv_id,CS-X (pi),babip_value,wCS/C (pi),Loc+ KC,Zone%,DPS,L-WAR,Tm,BIZ,barrels_plate_appearance_percentage,vz0,wEP (sc),FC-Z (pi),OBP+,fielder_5,FC-Z (sc),SV,Z-Contact% (sc),Stf+ SL,wRC,inning,botCmd FS,Lev,PU,Pit+ CH,Hard%+,GB%+,SL-Z (sc),wSI/C (sc),spin_dir,OOZ,BB%+,TTO%,Def,HR,effective_speed,fielder_4,CStr%,wFT (sc),# 1-10%,wFC (sc),BB/9+,Pit+ SL,Pace (pi),mlbID,BK,sz_bot,DP,RZR,# 90-100%,Soft%,botERA,TZL,FB%+,Oppo%,EP% (sc),break_angle_deprecated,vKN (pi),umpire,Stuff+,vSB (pi),0%,away,wFS (pi),FC% (pi),Location+,FO% (sc),PH,tERA,BABIP+,CU-X (pi),KN-Z (sc),of_fielding_alignment,Z-Contact% (pi),pLI,LOB%+,actual_homers,K/9,KN%,wKN,botCmd CH,BS,botCmd SI,CS% (pi),Pitches,expected_accuracy,TBF,KN-Z (pi),wCH/C (sc),xBA,XX%,CBv,LD+%,favor_home,HR/9+,Loc+ CH,HR/FB%+,Range,pitcher,CPP,RS,delta_run_exp,DPR,Inn,altitude,Events,SI% (pi),wFA/C (pi),SIERA,game_pk,vXX (pi),Fld,REW,WPA/LI,Loc+ FC,rGFP,fld_score,hit_location,Start-IP,SI% (sc),home_team_runs,wKN/C,IFFB%,SLG,CU-Z (sc),FS-Z (pi),wXX (pi),ERA-,HLD,hard_hit_percentage,botStf CH,botStf SL,if_fielding_alignment,game_date,IP,UBR,Name,ground_ball_ev,wFB,CH%,wXX/C (pi),FS% (sc),Pull%+,FT% (sc),wSL/C,wCU/C (pi),hc_x,CS,botOvr FA,wKN (sc),wSL/C (pi),SI-Z (sc),Oppo%+,botOvr SL,consistency,xFIP-,DPT,pitch_number,CH% (sc),events,stand,FC-X (sc),RPP,CHv,LD,KN% (sc),HardHit,feature1,Z-Swing% (pi),wFA/C (sc),Pit,# 40-60%,hc_y,CU% (pi),bb_type,RE24,H/9,BsR,wFS (sc),Relief-IP,tfs_zulu_deprecated,BB/K,wFO (sc),wCU (sc),WHIP,HardHit%,vCH (sc),wSB (pi),vCU (pi),wRAA,KN-X (sc),wSL (pi),fielder_8,Season,FS-X (sc),wEP/C (sc),home,PO,pfx_z,IFFB,vEP (sc),rSZ,botCmd FA,botOvr CU,botStf,spin_axis,Contact% (sc),Relieving,max_ev,SD,XX-X (pi),p_throws,Strikes,wKN/C (pi),vSL (sc),ax,wFO/C (sc),CT%,ERA,fielder_3,KN% (pi),O-Swing%,K-BB%,sweet_spot_percentage,EP-Z (sc),hard_hit_swing_percentage,Loc+ SL,Plays
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.439,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0,,,72,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,0.236,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,663656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,184,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,27,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,0.299,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,605512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,605513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.924,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,2,,,426,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,52,,2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,,,,,0.406,10,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,457759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,0,,,740,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,73,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,,,0.344,7,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,607208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,621249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.808,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,6,,,613,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,85,,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,,,,,,,0.344,12,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,457708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,52,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,0.061,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,570632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.696,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,0,,,109,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,0.336,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,620446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,628711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.618,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,53,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,0.264,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,649966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.608,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,46,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,,2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,0.283,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,570482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,187,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,14,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,0.305,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,400284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,0,,,133,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,0.214,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,642162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.588,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,2,,,288,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,33,,2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,0.254,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,472528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
